,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.721963107585907,0.7341288924217224,0.7235353589057922,0.7310814261436462,0.442675918340683,0.4609278738498688,0.48333027958869934,0.46043336391448975,0.4285120666027069,0.42020684480667114,0.3783370852470398,0.4001975655555725,0.37395113706588745,0.3782291114330292,0.38308531045913696,0.3611133396625519,0.3808206617832184,0.37776532769203186,0.34658342599868774,0.3856309950351715,0.41844263672828674,0.39274510741233826,0.3968607485294342,0.42273616790771484,0.41202640533447266,0.38661566376686096,0.40322771668434143,0.3536752164363861,0.40502598881721497,0.42074745893478394,0.4142431616783142,0.4074425995349884,0.48477882146835327,0.43832066655158997,0.461093008518219,0.4660349190235138
am_test_toxic,0.7341288328170776,0.7494135499000549,0.7364298105239868,0.7446628212928772,0.43458983302116394,0.4531853497028351,0.4747300148010254,0.45214515924453735,0.41608667373657227,0.4086361825466156,0.36835411190986633,0.38941726088523865,0.3608587384223938,0.3654339909553528,0.3697383403778076,0.3490573763847351,0.36947891116142273,0.3670549690723419,0.3358917236328125,0.3741095960140228,0.41545507311820984,0.3905365467071533,0.39424166083335876,0.41968804597854614,0.40274375677108765,0.37961092591285706,0.3946000933647156,0.3475663959980011,0.3973594307899475,0.4132812023162842,0.4064089059829712,0.40065521001815796,0.47149184346199036,0.42703989148139954,0.4488314092159271,0.4536137580871582
am_train_neutral,0.723535418510437,0.736429750919342,0.7255237102508545,0.7331621050834656,0.43872156739234924,0.45702388882637024,0.4790889024734497,0.4563899338245392,0.42318812012672424,0.4150948226451874,0.3739285171031952,0.3955090343952179,0.36802390217781067,0.3725387156009674,0.3771831691265106,0.3556884527206421,0.37582334876060486,0.37285974621772766,0.3420175313949585,0.38052305579185486,0.41636204719543457,0.39091527462005615,0.3949170708656311,0.4206653833389282,0.40807467699050903,0.3833366334438324,0.399528831243515,0.35080665349960327,0.4018697142601013,0.4173818826675415,0.4108631908893585,0.4044777750968933,0.4796193242073059,0.4338838756084442,0.45621734857559204,0.46121469140052795
am_train_toxic,0.7310814261436462,0.7446628212928772,0.7331621050834656,0.7413493990898132,0.4423796832561493,0.46111568808555603,0.4832029342651367,0.46024683117866516,0.4256623089313507,0.41757509112358093,0.37593501806259155,0.3975692391395569,0.36951377987861633,0.37417879700660706,0.3786965012550354,0.35722851753234863,0.37786924839019775,0.3751371204853058,0.34355220198631287,0.38272884488105774,0.41934120655059814,0.3937632441520691,0.3977576196193695,0.42381051182746887,0.4111316502094269,0.38680964708328247,0.4026224613189697,0.3539329469203949,0.4049633741378784,0.42102205753326416,0.41438475251197815,0.4079616069793701,0.48291015625,0.4368821382522583,0.45944705605506897,0.46430474519729614
ar_test_neutral,0.442675918340683,0.43458983302116394,0.43872156739234924,0.4423796832561493,0.610279381275177,0.6282787919044495,0.6354849338531494,0.6211634874343872,0.4742119014263153,0.46893563866615295,0.4288727939128876,0.44670742750167847,0.46375614404678345,0.4716930687427521,0.468295156955719,0.45640209317207336,0.4494110941886902,0.4542170464992523,0.4150708019733429,0.458492249250412,0.41303813457489014,0.3902084529399872,0.3938644528388977,0.4163658618927002,0.449492484331131,0.43450331687927246,0.44237208366394043,0.40265265107154846,0.4373548924922943,0.45492425560951233,0.4484885632991791,0.4414961040019989,0.46623432636260986,0.4212576150894165,0.44605201482772827,0.4478873014450073
ar_test_toxic,0.4609278738498688,0.4531853497028351,0.4570239186286926,0.4611157178878784,0.6282788515090942,0.6494007706642151,0.6569849848747253,0.6413736939430237,0.4890816807746887,0.4838327169418335,0.4419482350349426,0.46064141392707825,0.4759038984775543,0.4849931597709656,0.48083069920539856,0.4691985249519348,0.46197861433029175,0.4676888585090637,0.4260518550872803,0.4722089469432831,0.43095433712005615,0.40667420625686646,0.4106350541114807,0.4343017637729645,0.46580684185028076,0.4513963758945465,0.4587081968784332,0.4179868996143341,0.45330366492271423,0.4722834825515747,0.46514394879341125,0.4585118293762207,0.4815615117549896,0.43501827120780945,0.46075430512428284,0.4625430703163147
ar_train_neutral,0.48333030939102173,0.4747300148010254,0.4790889024734497,0.4832029342651367,0.635485053062439,0.6569849848747253,0.6691617369651794,0.6500734686851501,0.5124009847640991,0.5055062770843506,0.46112728118896484,0.4807988703250885,0.4973866641521454,0.5049659013748169,0.503211498260498,0.48783808946609497,0.48300355672836304,0.48751890659332275,0.44512930512428284,0.4926159083843231,0.4495006799697876,0.4229334592819214,0.4278082549571991,0.4522596597671509,0.48722636699676514,0.4695775806903839,0.4794785678386688,0.4338245093822479,0.47298958897590637,0.49229755997657776,0.4856009781360626,0.47770917415618896,0.5080164670944214,0.45796748995780945,0.4859068989753723,0.4871601164340973
ar_train_toxic,0.46043336391448975,0.45214515924453735,0.4563899338245392,0.46024683117866516,0.6211634874343872,0.6413736939430237,0.6500734686851501,0.6347374320030212,0.4906603991985321,0.485134482383728,0.44288355112075806,0.4618583619594574,0.4776560962200165,0.48624980449676514,0.48274555802345276,0.47029513120651245,0.46316811442375183,0.46869340538978577,0.4272892475128174,0.47333741188049316,0.4284968674182892,0.4043307900428772,0.40807777643203735,0.43213266134262085,0.4656020402908325,0.45012879371643066,0.45847129821777344,0.416653037071228,0.45236289501190186,0.4710623621940613,0.4639912247657776,0.457186758518219,0.48493775725364685,0.4380234479904175,0.463909775018692,0.46576258540153503
de_test_neutral,0.4285120666027069,0.41608673334121704,0.42318812012672424,0.4256623089313507,0.4742119014263153,0.4890816807746887,0.5124009847640991,0.4906603991985321,0.6553964614868164,0.6508302688598633,0.628442108631134,0.6392329931259155,0.5363932251930237,0.5425003170967102,0.5412576198577881,0.5247710347175598,0.5222150683403015,0.5311781764030457,0.48468780517578125,0.5321070551872253,0.39734071493148804,0.37404459714889526,0.37852588295936584,0.39913618564605713,0.46974024176597595,0.44503408670425415,0.45972132682800293,0.4101423919200897,0.44654175639152527,0.46517065167427063,0.46139150857925415,0.4500311613082886,0.48713988065719604,0.4385279417037964,0.46740010380744934,0.465167760848999
de_test_toxic,0.42020684480667114,0.4086362421512604,0.4150948226451874,0.41757509112358093,0.46893563866615295,0.4838327169418335,0.5055062770843506,0.485134482383728,0.6508302688598633,0.6510693430900574,0.6290750503540039,0.6395472884178162,0.5341252684593201,0.542411208152771,0.5377163887023926,0.5259032249450684,0.5172612071037292,0.5290984511375427,0.4801074266433716,0.5288939476013184,0.39188462495803833,0.3699246346950531,0.3736805319786072,0.3937501013278961,0.4616996645927429,0.4410020112991333,0.4520353078842163,0.4072619080543518,0.43904370069503784,0.4583355486392975,0.45340147614479065,0.44382762908935547,0.47377148270606995,0.4277438521385193,0.45523929595947266,0.45318081974983215
de_train_neutral,0.3783371150493622,0.36835411190986633,0.3739284873008728,0.37593501806259155,0.4288727939128876,0.4419482350349426,0.46112725138664246,0.44288358092308044,0.628442108631134,0.6290751099586487,0.6195631623268127,0.6244587898254395,0.4956052303314209,0.5025755763053894,0.4987961947917938,0.4879303276538849,0.4824977517127991,0.4937940835952759,0.44979339838027954,0.4921110272407532,0.3609619438648224,0.3415895998477936,0.34495097398757935,0.3617100119590759,0.42494702339172363,0.40667495131492615,0.41656258702278137,0.376900851726532,0.4043136239051819,0.4211173355579376,0.4170958995819092,0.40900012850761414,0.4252043068408966,0.3850758671760559,0.4098009765148163,0.40694737434387207
