,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.6890000104904175,0.6954423189163208,0.6936075091362,0.6984593272209167,0.3406181037425995,0.3419567346572876,0.34995630383491516,0.3343901038169861,0.3153192698955536,0.3142985701560974,0.30449604988098145,0.320391982793808,0.28831836581230164,0.2921435534954071,0.2931097447872162,0.2987305223941803,0.30872631072998047,0.2974727749824524,0.27437058091163635,0.30310314893722534,0.33659470081329346,0.32775914669036865,0.32989710569381714,0.3450506329536438,0.2561100125312805,0.25074538588523865,0.26058560609817505,0.2486809641122818,0.26114723086357117,0.27029433846473694,0.24847178161144257,0.26358798146247864,0.3197574317455292,0.32002973556518555,0.32484281063079834,0.3197878897190094
am_test_toxic,0.6954423785209656,0.7033355832099915,0.699090301990509,0.705292284488678,0.3339184522628784,0.33590683341026306,0.34340742230415344,0.32806187868118286,0.30967962741851807,0.30869442224502563,0.3001371920108795,0.3145812153816223,0.28467586636543274,0.288852334022522,0.28959542512893677,0.2954886853694916,0.3033807575702667,0.2935682535171509,0.27001553773880005,0.2978885769844055,0.32873043417930603,0.32061532139778137,0.32333460450172424,0.3367561399936676,0.25285086035728455,0.247733011841774,0.2570333182811737,0.24593251943588257,0.2572704553604126,0.2669190466403961,0.24516981840133667,0.26007357239723206,0.3104766309261322,0.3112064599990845,0.3160593807697296,0.3107351064682007
am_train_neutral,0.6936075091362,0.699090301990509,0.7003509998321533,0.7035572528839111,0.35157862305641174,0.35219141840934753,0.3613094687461853,0.34475767612457275,0.3250501751899719,0.32398638129234314,0.31257376074790955,0.33046451210975647,0.2951066195964813,0.29870063066482544,0.29973793029785156,0.3054003119468689,0.31752118468284607,0.30467304587364197,0.2810456156730652,0.31177249550819397,0.3483293652534485,0.3385920524597168,0.34015709161758423,0.35759302973747253,0.26107826828956604,0.25531744956970215,0.2657214105129242,0.25310584902763367,0.2667832374572754,0.27581197023391724,0.2533110976219177,0.26885655522346497,0.3336485028266907,0.3334812819957733,0.33850425481796265,0.3333161473274231
am_train_toxic,0.6984593272209167,0.7052922248840332,0.7035572528839111,0.7089200615882874,0.3431706726551056,0.34476739168167114,0.35291123390197754,0.33686119318008423,0.3176524043083191,0.3167586028575897,0.3065339922904968,0.32286369800567627,0.28982630372047424,0.2940816283226013,0.29452574253082275,0.3007414937019348,0.3108115494251251,0.2997911870479584,0.2757188081741333,0.30532214045524597,0.3393266797065735,0.33056142926216125,0.33273258805274963,0.34822723269462585,0.2579892873764038,0.2526024878025055,0.26214051246643066,0.25081348419189453,0.2631639540195465,0.27272850275039673,0.25034064054489136,0.2656481862068176,0.3219103515148163,0.3222154676914215,0.3270857334136963,0.3219815492630005
ar_test_neutral,0.3406180739402771,0.3339184522628784,0.35157862305641174,0.3431706428527832,0.557830810546875,0.5597788691520691,0.5716257095336914,0.5473266839981079,0.4993780851364136,0.4933840334415436,0.47809234261512756,0.49203959107398987,0.45795005559921265,0.46773603558540344,0.45437806844711304,0.46980977058410645,0.5105918049812317,0.4868111312389374,0.4513252079486847,0.5020728707313538,0.5307007431983948,0.5159828662872314,0.5165557265281677,0.5407717227935791,0.4622352421283722,0.45297080278396606,0.4651692807674408,0.45241451263427734,0.45177674293518066,0.46326112747192383,0.4325520992279053,0.450367271900177,0.543060839176178,0.5446587800979614,0.5480781197547913,0.5465190410614014
ar_test_toxic,0.3419567346572876,0.3359068036079407,0.3521914482116699,0.34476739168167114,0.5597788691520691,0.5653376579284668,0.574838399887085,0.5510935187339783,0.5025930404663086,0.49665921926498413,0.48403066396713257,0.49423500895500183,0.46903398633003235,0.4803336560726166,0.46524712443351746,0.48289456963539124,0.5170248746871948,0.49749428033828735,0.4591612219810486,0.5090196132659912,0.5301734805107117,0.5175682902336121,0.5194047689437866,0.5396106243133545,0.47132012248039246,0.4623178243637085,0.47383877635002136,0.46221351623535156,0.45999419689178467,0.47275233268737793,0.44195351004600525,0.4594676196575165,0.5359571576118469,0.5387023687362671,0.5426108241081238,0.5398590564727783
ar_train_neutral,0.34995630383491516,0.34340739250183105,0.3613094687461853,0.35291123390197754,0.5716257095336914,0.5748384594917297,0.588061511516571,0.5613423585891724,0.5139371156692505,0.5079530477523804,0.49314165115356445,0.5058611035346985,0.4759432077407837,0.4864574074745178,0.4724290072917938,0.4892292022705078,0.5278797149658203,0.5040478706359863,0.4661027789115906,0.5185984969139099,0.5448729991912842,0.5301588177680969,0.5316004157066345,0.5548616051673889,0.4786969721317291,0.46872276067733765,0.48154935240745544,0.46833398938179016,0.46700507402420044,0.47960254549980164,0.4475230574607849,0.46584394574165344,0.553345799446106,0.5552788376808167,0.5597411394119263,0.5565826892852783
ar_train_toxic,0.3343900740146637,0.32806190848350525,0.34475767612457275,0.33686119318008423,0.5473266839981079,0.5510934591293335,0.5613423585891724,0.5398274660110474,0.49011749029159546,0.48418140411376953,0.47159507870674133,0.48253360390663147,0.45853450894355774,0.46757128834724426,0.45451220870018005,0.47005438804626465,0.5068696737289429,0.48665374517440796,0.45086318254470825,0.49877962470054626,0.5187915563583374,0.5057204365730286,0.5075801610946655,0.5280702114105225,0.4617995023727417,0.45285239815711975,0.46501973271369934,0.4525741636753082,0.450273722410202,0.46208563446998596,0.4324134290218353,0.4495317041873932,0.5274837613105774,0.5297533869743347,0.533250093460083,0.5307837724685669
de_test_neutral,0.3153192698955536,0.30967962741851807,0.3250502049922943,0.3176524043083191,0.4993780851364136,0.5025931000709534,0.5139371156692505,0.4901174306869507,0.551078736782074,0.5480801463127136,0.5387811064720154,0.5461316108703613,0.4677858352661133,0.48513540625572205,0.46343621611595154,0.4895510673522949,0.4868670403957367,0.47449707984924316,0.43350768089294434,0.4821310043334961,0.4905317425727844,0.4812820255756378,0.4839427173137665,0.49804067611694336,0.4333278238773346,0.4233522117137909,0.43589961528778076,0.42269784212112427,0.42019835114479065,0.43202510476112366,0.40344664454460144,0.4192625880241394,0.483845055103302,0.4830925762653351,0.489380419254303,0.4855384826660156
de_test_toxic,0.3142986297607422,0.30869442224502563,0.32398635149002075,0.31675857305526733,0.4933839738368988,0.49665921926498413,0.5079529285430908,0.48418140411376953,0.5480801463127136,0.5476256012916565,0.5363571643829346,0.5447372794151306,0.4622604548931122,0.48086312413215637,0.458420068025589,0.4853416979312897,0.4802682101726532,0.46815961599349976,0.42680585384368896,0.47599443793296814,0.48481079936027527,0.4758579730987549,0.4779435992240906,0.49281537532806396,0.4255875051021576,0.4163520932197571,0.4277716279029846,0.4157366156578064,0.41248080134391785,0.42439404129981995,0.3957260251045227,0.4117089807987213,0.47762274742126465,0.4769614338874817,0.48303911089897156,0.4793233275413513
de_train_neutral,0.30449604988098145,0.3001371920108795,0.31257373094558716,0.3065339922904968,0.47809234261512756,0.48403066396713257,0.4931415915489197,0.47159507870674133,0.5387810468673706,0.5363572239875793,0.5376469492912292,0.5332888960838318,0.4721551239490509,0.49014922976493835,0.4678730070590973,0.49569129943847656,0.47796669602394104,0.474413126707077,0.43154239654541016,0.4742451310157776,0.4628232419490814,0.4580191373825073,0.46322694420814514,0.466937392950058,0.427156537771225,0.4181154668331146,0.43016475439071655,0.41821175813674927,0.41125473380088806,0.4239867627620697,0.3982597291469574,0.4114634692668915,0.44903403520584106,0.45059463381767273,0.4577621519565582,0.4511793851852417
de_train_toxic,0.320391982793808,0.3145811855792999,0.33046451210975647,0.3228636682033539,0.4920395612716675,0.49423500895500183,0.5058611035346985,0.4825335443019867,0.5461316704750061,0.5447372794151306,0.5332889556884766,0.5451166033744812,0.45892488956451416,0.4760112166404724,0.4542059600353241,0.4808247983455658,0.47689583897590637,0.4639979898929596,0.4230007231235504,0.47297021746635437,0.48418012261390686,0.4746793508529663,0.4761299788951874,0.4925253391265869,0.42133939266204834,0.412124902009964,0.4243742823600769,0.41137686371803284,0.4091604948043823,0.4205070734024048,0.3914864659309387,0.408090204000473,0.478024423122406,0.4767735004425049,0.4826870262622833,0.4794834852218628
en_test_neutral,0.28831836581230164,0.28467586636543274,0.29510658979415894,0.28982630372047424,0.45794999599456787,0.46903398633003235,0.4759431779384613,0.45853450894355774,0.4677858054637909,0.4622604548931122,0.47215506434440613,0.45892488956451416,0.5316178202629089,0.5433929562568665,0.5218116044998169,0.5523168444633484,0.4871693253517151,0.49352407455444336,0.44961944222450256,0.48331767320632935,0.44473785161972046,0.4453422725200653,0.4563656747341156,0.4471217691898346,0.4263482391834259,0.41711312532424927,0.4333072304725647,0.4172256886959076,0.41382691264152527,0.4268220067024231,0.4042288362979889,0.4165288507938385,0.41469013690948486,0.41894102096557617,0.4282621145248413,0.41580575704574585
en_test_toxic,0.2921435832977295,0.288852334022522,0.29870063066482544,0.2940816283226013,0.46773597598075867,0.4803335964679718,0.4864574074745178,0.46757134795188904,0.48513540625572205,0.480863094329834,0.49014922976493835,0.4760112762451172,0.5433929562568665,0.565552294254303,0.5351019501686096,0.5740573406219482,0.4945414662361145,0.5032182335853577,0.4553230106830597,0.49245214462280273,0.45404452085494995,0.4557221531867981,0.4664665162563324,0.4566575586795807,0.430767297744751,0.422852486371994,0.43681812286376953,0.4232289493083954,0.4181423783302307,0.4327840805053711,0.40836215019226074,0.42129456996917725,0.4225155711174011,0.42747655510902405,0.43660059571266174,0.42464175820350647
en_train_neutral,0.2931097447872162,0.28959542512893677,0.29973793029785156,0.29452574253082275,0.45437806844711304,0.4652470648288727,0.4724290072917938,0.45451220870018005,0.46343621611595154,0.458420068025589,0.4678729474544525,0.4542059600353241,0.5218116044998169,0.5351019501686096,0.5166013836860657,0.5434155464172363,0.4817226529121399,0.4864364266395569,0.4448786675930023,0.47696182131767273,0.4405888319015503,0.440692275762558,0.45133572816848755,0.44256889820098877,0.4215739369392395,0.4123779833316803,0.42780596017837524,0.41222137212753296,0.4081273078918457,0.42082035541534424,0.3993525803089142,0.4108889698982239,0.41187188029289246,0.4164835810661316,0.425540566444397,0.4133281707763672
en_train_toxic,0.2987305223941803,0.2954886555671692,0.3054003417491913,0.3007414937019348,0.46980977058410645,0.48289456963539124,0.4892292022705078,0.47005438804626465,0.48955103754997253,0.4853416979312897,0.49569129943847656,0.4808247685432434,0.5523169040679932,0.574057400226593,0.5434155464172363,0.585112988948822,0.4990597665309906,0.5086981654167175,0.45918333530426025,0.4971568286418915,0.4577834904193878,0.45995086431503296,0.47137266397476196,0.46023550629615784,0.4322790503501892,0.4240753948688507,0.4389561116695404,0.4243195354938507,0.4197506904602051,0.43455180525779724,0.4099469780921936,0.42311835289001465,0.42200005054473877,0.4276359975337982,0.43693554401397705,0.42433875799179077
es_test_neutral,0.30872631072998047,0.3033807575702667,0.31752121448516846,0.3108115792274475,0.5105918049812317,0.5170248746871948,0.5278797149658203,0.5068697333335876,0.4868669807910919,0.480268269777298,0.47796669602394104,0.47689583897590637,0.4871693253517151,0.4945414662361145,0.4817226529121399,0.4990597069263458,0.5357637405395508,0.526455819606781,0.48724564909935,0.5271416306495667,0.4948214888572693,0.48674288392066956,0.49303963780403137,0.5013118982315063,0.4946090877056122,0.484952449798584,0.49878358840942383,0.48564088344573975,0.4730241298675537,0.48824194073677063,0.4570372998714447,0.4742831587791443,0.4831438362598419,0.48452889919281006,0.4913111925125122,0.4840881824493408
es_test_toxic,0.2974727749824524,0.2935682535171509,0.30467310547828674,0.299791157245636,0.4868111312389374,0.49749425053596497,0.5040478706359863,0.48665374517440796,0.47449707984924316,0.46815961599349976,0.474413126707077,0.4639979898929596,0.49352407455444336,0.5032182335853577,0.4864364266395569,0.5086981654167175,0.526455819606781,0.5342126488685608,0.4883534610271454,0.5223734974861145,0.4666624069213867,0.46498754620552063,0.47386693954467773,0.4709605574607849,0.4876228868961334,0.48074638843536377,0.49088409543037415,0.4828069806098938,0.4647424817085266,0.48202598094940186,0.45294350385665894,0.4677915871143341,0.4421584904193878,0.44586992263793945,0.45313140749931335,0.4437818229198456
es_train_neutral,0.27437058091163635,0.27001553773880005,0.2810456156730652,0.2757188081741333,0.4513252079486847,0.4591612219810486,0.4661027789115906,0.450863242149353,0.43350768089294434,0.42680585384368896,0.43154239654541016,0.4230007231235504,0.4496193826198578,0.4553230106830597,0.4448786973953247,0.45918333530426025,0.48724564909935,0.488353431224823,0.4570963978767395,0.48201826214790344,0.43197178840637207,0.4279737174510956,0.43570664525032043,0.4355660676956177,0.44957733154296875,0.4414161741733551,0.4534043073654175,0.4423516094684601,0.42831122875213623,0.44156381487846375,0.41763925552368164,0.43017929792404175,0.41923287510871887,0.420778751373291,0.42758047580718994,0.4196658730506897
es_train_toxic,0.30310314893722534,0.2978885769844055,0.31177249550819397,0.30532217025756836,0.5020729303359985,0.5090196132659912,0.5185985565185547,0.49877962470054626,0.4821309447288513,0.47599443793296814,0.4742451310157776,0.47297021746635437,0.48331767320632935,0.49245214462280273,0.47696182131767273,0.49715694785118103,0.5271416306495667,0.5223734974861145,0.48201826214790344,0.5221870541572571,0.48639002442359924,0.4798952639102936,0.48572421073913574,0.4931889772415161,0.4838975965976715,0.47571542859077454,0.4878964424133301,0.4767052233219147,0.46365106105804443,0.47891318798065186,0.44790562987327576,0.465181440114975,0.47401338815689087,0.4756251871585846,0.48221659660339355,0.4751380383968353
hi_test_neutral,0.33659467101097107,0.32873043417930603,0.3483293652534485,0.3393266797065735,0.5307007431983948,0.5301734209060669,0.5448729991912842,0.5187914967536926,0.49053168296813965,0.48481079936027527,0.4628233015537262,0.4841800928115845,0.44473785161972046,0.4540445804595947,0.4405888319015503,0.4577834904193878,0.4948214292526245,0.4666624069213867,0.43197178840637207,0.48639002442359924,0.606624960899353,0.5942664742469788,0.5935553908348083,0.620381236076355,0.439299613237381,0.4290705919265747,0.4434156119823456,0.42712661623954773,0.4394642114639282,0.44924676418304443,0.41689786314964294,0.43777716159820557,0.5413606762886047,0.540724515914917,0.543723464012146,0.5435944199562073
hi_test_toxic,0.32775911688804626,0.32061532139778137,0.3385920524597168,0.33056139945983887,0.5159828066825867,0.5175682902336121,0.5301588177680969,0.5057204365730286,0.4812820255756378,0.4758579730987549,0.45801907777786255,0.4746793806552887,0.4453423321247101,0.4557221531867981,0.440692275762558,0.45995086431503296,0.48674288392066956,0.46498754620552063,0.4279736876487732,0.4798952639102936,0.5942664742469788,0.5875963568687439,0.5872977375984192,0.6072201132774353,0.43070748448371887,0.4212901294231415,0.43479588627815247,0.4199715852737427,0.4302997589111328,0.440782755613327,0.41003140807151794,0.4295577108860016,0.5187175273895264,0.5191695094108582,0.5227587819099426,0.5212337970733643
hi_train_neutral,0.32989710569381714,0.32333460450172424,0.34015709161758423,0.332732617855072,0.5165557265281677,0.5194047689437866,0.5316004157066345,0.5075801014900208,0.4839427173137665,0.47794365882873535,0.46322694420814514,0.4761299788951874,0.4563656747341156,0.4664665162563324,0.45133572816848755,0.47137266397476196,0.493039608001709,0.47386693954467773,0.43570664525032043,0.48572421073913574,0.5935552716255188,0.5872977375984192,0.5913407802581787,0.6043566465377808,0.44018417596817017,0.4301127791404724,0.44418877363204956,0.429152250289917,0.4384036064147949,0.44985103607177734,0.4192182719707489,0.4379481375217438,0.5134621858596802,0.5144487023353577,0.5186511874198914,0.5158609747886658
hi_train_toxic,0.3450506329536438,0.3367561399936676,0.35759302973747253,0.34822726249694824,0.5407716631889343,0.5396106243133545,0.5548616051673889,0.5280702114105225,0.49804073572158813,0.49281537532806396,0.466937392950058,0.4925254285335541,0.4471217691898346,0.4566575586795807,0.44256895780563354,0.46023550629615784,0.5013118982315063,0.4709605574607849,0.4355660676956177,0.4931890070438385,0.6203813552856445,0.6072201132774353,0.6043567061424255,0.638103723526001,0.4434981942176819,0.433164119720459,0.447124719619751,0.43128758668899536,0.444949746131897,0.45462745428085327,0.4207189977169037,0.44292593002319336,0.5571260452270508,0.5556244850158691,0.5579829812049866,0.5591799020767212
ru_test_neutral,0.25610998272895813,0.25285083055496216,0.26107823848724365,0.2579892873764038,0.4622352123260498,0.47132012248039246,0.47869691252708435,0.4617994725704193,0.43332788348197937,0.4255875051021576,0.427156537771225,0.42133939266204834,0.4263482391834259,0.430767297744751,0.4215739369392395,0.4322790503501892,0.4946090877056122,0.4876228868961334,0.4495773911476135,0.4838975965976715,0.439299613237381,0.4307074248790741,0.4401841163635254,0.4434981942176819,0.5890456438064575,0.5850749611854553,0.584647536277771,0.5898964405059814,0.5316007733345032,0.5573985576629639,0.5123257637023926,0.5372827053070068,0.4188005030155182,0.41975194215774536,0.42446884512901306,0.42095130681991577
ru_test_toxic,0.25074541568756104,0.24773302674293518,0.25531744956970215,0.2526024878025055,0.45297080278396606,0.4623178243637085,0.46872279047966003,0.452852338552475,0.4233522117137909,0.41635215282440186,0.4181154668331146,0.412124902009964,0.41711312532424927,0.422852486371994,0.4123779833316803,0.4240753948688507,0.484952449798584,0.48074638843536377,0.4414161741733551,0.47571542859077454,0.4290705919265747,0.4212901294231415,0.4301127791404724,0.433164119720459,0.5850749611854553,0.5861274600028992,0.5805175304412842,0.5909590125083923,0.5278380513191223,0.5551360249519348,0.5087485313415527,0.5349186658859253,0.4067727029323578,0.40874990820884705,0.412734717130661,0.4096069931983948
ru_train_neutral,0.26058563590049744,0.2570333480834961,0.2657213807106018,0.26214051246643066,0.4651692509651184,0.47383880615234375,0.48154935240745544,0.46501973271369934,0.43589961528778076,0.4277716875076294,0.43016475439071655,0.4243742823600769,0.4333072304725647,0.43681812286376953,0.42780596017837524,0.43895605206489563,0.49878358840942383,0.49088409543037415,0.4534042477607727,0.4878964424133301,0.4434156119823456,0.43479588627815247,0.44418877363204956,0.447124719619751,0.584647536277771,0.580517590045929,0.5839096903800964,0.5844536423683167,0.5303608179092407,0.5556806921958923,0.5103759765625,0.5362547636032104,0.42040401697158813,0.4213557243347168,0.42638087272644043,0.42223691940307617
ru_train_toxic,0.248680979013443,0.24593251943588257,0.25310584902763367,0.25081348419189453,0.45241454243659973,0.46221357583999634,0.46833398938179016,0.4525741636753082,0.42269784212112427,0.41573667526245117,0.41821175813674927,0.41137686371803284,0.4172256290912628,0.4232289493083954,0.41222137212753296,0.4243195652961731,0.48564088344573975,0.4828069806098938,0.4423516094684601,0.47670528292655945,0.42712661623954773,0.4199715852737427,0.429152250289917,0.43128758668899536,0.5898964405059814,0.5909590125083923,0.5844536423683167,0.5974541306495667,0.5308931469917297,0.5587222576141357,0.5121805667877197,0.5377916097640991,0.40531814098358154,0.40747109055519104,0.4113096594810486,0.40836969017982483
uk_test_neutral,0.2611472010612488,0.2572704553604126,0.2667832374572754,0.2631639242172241,0.45177674293518066,0.45999419689178467,0.46700507402420044,0.450273722410202,0.42019838094711304,0.41248080134391785,0.41125473380088806,0.4091604948043823,0.41382691264152527,0.4181423783302307,0.4081273078918457,0.4197506904602051,0.4730241298675537,0.4647424817085266,0.42831122875213623,0.46365106105804443,0.4394642114639282,0.4302997589111328,0.4384036064147949,0.444949746131897,0.5316007733345032,0.5278379917144775,0.5303608179092407,0.5308931469917297,0.5519718527793884,0.5726432800292969,0.532177746295929,0.5581269860267639,0.41412168741226196,0.414641410112381,0.41850605607032776,0.4159511625766754
