,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.6969875693321228,0.7038073539733887,0.7006248831748962,0.7064654231071472,0.27935734391212463,0.27665072679519653,0.2856573462486267,0.2776491343975067,0.2809338867664337,0.28482410311698914,0.2703605592250824,0.2901536822319031,0.26069167256355286,0.269031286239624,0.25398603081703186,0.2763952314853668,0.2590824365615845,0.2555530369281769,0.2282862365245819,0.2525511682033539,0.2922356128692627,0.2832074463367462,0.28465452790260315,0.3038010597229004,0.23937296867370605,0.23509016633033752,0.23470444977283478,0.23621821403503418,0.23123452067375183,0.24091137945652008,0.2136591523885727,0.23105840384960175,0.27435389161109924,0.2781642973423004,0.2687530815601349,0.27898791432380676
am_test_toxic,0.7038073539733887,0.7120360136032104,0.7071556448936462,0.7138988971710205,0.27622538805007935,0.27382227778434753,0.28266483545303345,0.27477961778640747,0.27931085228919983,0.283494234085083,0.2693450152873993,0.28863954544067383,0.2606547772884369,0.2693396210670471,0.25375130772590637,0.27676185965538025,0.25686705112457275,0.2544694244861603,0.22642092406749725,0.2506085932254791,0.2891376316547394,0.2806349992752075,0.28236454725265503,0.3005428910255432,0.23679782450199127,0.2328472137451172,0.2318555861711502,0.23413293063640594,0.2285379320383072,0.23863288760185242,0.21122021973133087,0.22849209606647491,0.26967084407806396,0.2740466594696045,0.2644818425178528,0.2745818495750427
am_train_neutral,0.7006248831748962,0.7071556448936462,0.7057148814201355,0.7107612490653992,0.28350648283958435,0.2805063724517822,0.28995853662490845,0.28163397312164307,0.2849073112010956,0.2888808250427246,0.27328982949256897,0.294262170791626,0.2622312605381012,0.27035295963287354,0.25561779737472534,0.2778027653694153,0.26240459084510803,0.2579673230648041,0.2306022197008133,0.2555007338523865,0.2971457540988922,0.2873914837837219,0.2884945571422577,0.30914002656936646,0.2426212877035141,0.23776742815971375,0.23787200450897217,0.23894360661506653,0.2342989295721054,0.2440447211265564,0.21628859639167786,0.23409463465213776,0.2824671268463135,0.28571343421936035,0.27601855993270874,0.2868025302886963
am_train_toxic,0.706465482711792,0.7138988971710205,0.7107612490653992,0.7171649932861328,0.2818070948123932,0.2791370749473572,0.28821900486946106,0.28005948662757874,0.2844031751155853,0.28860220313072205,0.2730843126773834,0.29388201236724854,0.2616328001022339,0.2706524729728699,0.2547505497932434,0.27807846665382385,0.2610253691673279,0.25767743587493896,0.22939425706863403,0.25456687808036804,0.29510733485221863,0.2858603894710541,0.2871161699295044,0.30710360407829285,0.2419072985649109,0.2376313954591751,0.2367319017648697,0.23900219798088074,0.23353539407253265,0.24378222227096558,0.21570879220962524,0.23355086147785187,0.277897447347641,0.2815476357936859,0.27166321873664856,0.28258630633354187
ar_test_neutral,0.27935734391212463,0.27622535824775696,0.28350648283958435,0.2818070948123932,0.5885211229324341,0.5895628929138184,0.6018473505973816,0.5804562568664551,0.4370563328266144,0.4310123920440674,0.41925957798957825,0.43223240971565247,0.42696431279182434,0.439589262008667,0.4145265519618988,0.4457479417324066,0.46445006132125854,0.4391991198062897,0.402743399143219,0.4528730511665344,0.4849667549133301,0.4638907313346863,0.46799546480178833,0.4999348521232605,0.41007471084594727,0.40724512934684753,0.40689659118652344,0.40505680441856384,0.39826011657714844,0.41337499022483826,0.37234044075012207,0.39926600456237793,0.42696258425712585,0.42743250727653503,0.4212075173854828,0.43255889415740967
ar_test_toxic,0.27665069699287415,0.27382227778434753,0.28050634264945984,0.2791370749473572,0.5895628929138184,0.5929350852966309,0.603606641292572,0.582375705242157,0.43621426820755005,0.430390328168869,0.41925308108329773,0.4313376843929291,0.42824307084083557,0.4417549669742584,0.41573622822761536,0.447710245847702,0.46415987610816956,0.4402799904346466,0.402828186750412,0.45302045345306396,0.4829336404800415,0.4628334939479828,0.46695488691329956,0.4977494180202484,0.40950092673301697,0.4070158004760742,0.4061026871204376,0.4049025774002075,0.3977641463279724,0.4134276509284973,0.37240418791770935,0.3990575671195984,0.4229930639266968,0.4242696762084961,0.4177786707878113,0.4289034605026245
ar_train_neutral,0.2856573760509491,0.28266486525535583,0.28995853662490845,0.28821900486946106,0.6018472909927368,0.6036065816879272,0.6180739998817444,0.5937333703041077,0.4491468369960785,0.4427063465118408,0.4308951199054718,0.44334661960601807,0.44069141149520874,0.453355073928833,0.4281628429889679,0.460384726524353,0.4792516231536865,0.45242640376091003,0.4143992066383362,0.46633559465408325,0.4997676610946655,0.47780758142471313,0.48246586322784424,0.5148422122001648,0.4225040078163147,0.4185594618320465,0.41914960741996765,0.41641733050346375,0.41009584069252014,0.42603760957717896,0.3835352063179016,0.4109112322330475,0.4403750002384186,0.4418238401412964,0.43573787808418274,0.44641903042793274
ar_train_toxic,0.2776491343975067,0.27477964758872986,0.28163397312164307,0.28005948662757874,0.5804561972618103,0.582375705242157,0.5937333703041077,0.5745445489883423,0.43409833312034607,0.42865389585494995,0.4171904921531677,0.4300687909126282,0.4258233308792114,0.4382225573062897,0.4128919839859009,0.44444310665130615,0.45963379740715027,0.435973197221756,0.3994992673397064,0.44874808192253113,0.4790857434272766,0.45888710021972656,0.4629593789577484,0.49379628896713257,0.40654805302619934,0.4040614068508148,0.4035525321960449,0.40195733308792114,0.3940066993236542,0.4091101586818695,0.36861854791641235,0.3953757584095001,0.42362889647483826,0.42466244101524353,0.4180434048175812,0.42924004793167114
de_test_neutral,0.2809339463710785,0.27931085228919983,0.2849072813987732,0.28440314531326294,0.4370563328266144,0.43621429800987244,0.4491468369960785,0.43409833312034607,0.5502743124961853,0.5442904233932495,0.5326655507087708,0.5492428541183472,0.43833285570144653,0.4575279653072357,0.425279438495636,0.46177732944488525,0.46194589138031006,0.44920986890792847,0.4052641689777374,0.45723846554756165,0.44914510846138,0.4330383837223053,0.4366840720176697,0.46641573309898376,0.40242528915405273,0.3973004221916199,0.3934236466884613,0.39811229705810547,0.3831993043422699,0.39968350529670715,0.35808128118515015,0.3847479522228241,0.42410537600517273,0.4258255362510681,0.41691356897354126,0.42977455258369446
de_test_toxic,0.28482410311698914,0.283494234085083,0.2888808250427246,0.28860220313072205,0.4310123920440674,0.430390328168869,0.4427063465118408,0.4286539554595947,0.5442904233932495,0.5424058437347412,0.5277044773101807,0.5461517572402954,0.4324641227722168,0.4537186622619629,0.41921746730804443,0.45809730887413025,0.45397698879241943,0.44271424412727356,0.3970697224140167,0.4500553607940674,0.4439490735530853,0.4280822277069092,0.4313664138317108,0.4610044062137604,0.39588895440101624,0.39191487431526184,0.38686761260032654,0.3927973508834839,0.3766084611415863,0.39347144961357117,0.35173216462135315,0.37869495153427124,0.4215621054172516,0.4235227406024933,0.41423413157463074,0.4270744025707245
