,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.7366136312484741,0.7426968216896057,0.7406371831893921,0.7463160157203674,0.5675843954086304,0.565132200717926,0.5746650695800781,0.560711145401001,0.5289182066917419,0.5271576642990112,0.5039230585098267,0.5304323434829712,0.546298623085022,0.5530664920806885,0.5294841527938843,0.5563992857933044,0.5408766269683838,0.5406582355499268,0.4984440803527832,0.5352739095687866,0.5665639042854309,0.5589814186096191,0.5673341155052185,0.5809630751609802,0.5150997042655945,0.5193201899528503,0.5204919576644897,0.521612823009491,0.5121674537658691,0.5344039797782898,0.48546719551086426,0.5156647562980652,0.5625861287117004,0.5647327303886414,0.5582908391952515,0.5622109174728394
am_test_toxic,0.7426968812942505,0.7493578195571899,0.7466900944709778,0.7527426481246948,0.5702238082885742,0.5679420828819275,0.5775935649871826,0.5633181929588318,0.5310789346694946,0.5294114947319031,0.5059575438499451,0.532569169998169,0.5488444566726685,0.5559725165367126,0.5318875312805176,0.5593964457511902,0.5430234670639038,0.5430608987808228,0.5000090003013611,0.5374096035957336,0.5692696571350098,0.5618082284927368,0.5702526569366455,0.5838467478752136,0.5175515413284302,0.5219948291778564,0.5228366255760193,0.5243409872055054,0.5146523714065552,0.5373501777648926,0.4877644181251526,0.5182332992553711,0.5661699771881104,0.5687567591667175,0.562129020690918,0.5659194588661194
am_train_neutral,0.7406371831893921,0.7466900944709778,0.7452243566513062,0.7506536245346069,0.5707888007164001,0.5682127475738525,0.577901303768158,0.563856303691864,0.5312608480453491,0.5295346975326538,0.5058492422103882,0.5328894257545471,0.54909747838974,0.5557371377944946,0.5320768356323242,0.5590760707855225,0.5435027480125427,0.5429592132568359,0.5005691647529602,0.537685751914978,0.5702836513519287,0.5625201463699341,0.5708715319633484,0.5849850177764893,0.5179857015609741,0.5220509767532349,0.5233292579650879,0.5243490934371948,0.5156924724578857,0.5380203723907471,0.4886660575866699,0.5191435813903809,0.5667978525161743,0.5686939358711243,0.5621297359466553,0.5663257837295532
am_train_toxic,0.7463160157203674,0.7527427077293396,0.7506535649299622,0.7566583156585693,0.5752624869346619,0.5728679895401001,0.5826773643493652,0.5682192444801331,0.5358366966247559,0.5342093706130981,0.5104042291641235,0.5373479723930359,0.553317129611969,0.5606512427330017,0.5362840890884399,0.5640161037445068,0.5478225350379944,0.5477806925773621,0.5042767524719238,0.542074978351593,0.5743566751480103,0.5667532086372375,0.5752873420715332,0.5891355276107788,0.5222961902618408,0.5265762805938721,0.5274974703788757,0.5289972424507141,0.5196471214294434,0.5425008535385132,0.4925748109817505,0.5231871008872986,0.5705969333648682,0.5728580951690674,0.5662035942077637,0.5701901316642761
ar_test_neutral,0.5675843358039856,0.5702238082885742,0.5707888603210449,0.5752624273300171,0.6781502366065979,0.681130588054657,0.6881546378135681,0.6717339158058167,0.5917362570762634,0.5886718034744263,0.5669394731521606,0.5910910964012146,0.5979304909706116,0.6100775003433228,0.5795140862464905,0.6114767789840698,0.6031450629234314,0.6075350642204285,0.5570231676101685,0.5990194082260132,0.6003219485282898,0.592857837677002,0.6042038798332214,0.6127559542655945,0.58470219373703,0.5888628959655762,0.5895538926124573,0.5917454361915588,0.5695226192474365,0.5943005681037903,0.5442463755607605,0.5730310678482056,0.5894371867179871,0.5919229388237,0.5884550213813782,0.5885670781135559
ar_test_toxic,0.565132200717926,0.5679420828819275,0.5682128071784973,0.5728679895401001,0.681130588054657,0.6857795715332031,0.6920311450958252,0.6751229166984558,0.5916160941123962,0.5886649489402771,0.5677499175071716,0.5906406044960022,0.5979106426239014,0.6109243035316467,0.5800426006317139,0.6122222542762756,0.6028015613555908,0.6086122989654541,0.5571961402893066,0.5991243720054626,0.5981237888336182,0.591319739818573,0.6029982566833496,0.6100073456764221,0.5841314196586609,0.5885188579559326,0.5885642766952515,0.5913794636726379,0.5680319666862488,0.5931549668312073,0.5437264442443848,0.5718093514442444,0.587968647480011,0.5909995436668396,0.5879791975021362,0.5872556567192078
ar_train_neutral,0.5746651291847229,0.5775936245918274,0.5779013633728027,0.58267742395401,0.6881546974182129,0.6920311450958252,0.699513852596283,0.6816727519035339,0.60043865442276,0.5973779559135437,0.5758011937141418,0.5993329286575317,0.6077263951301575,0.6208309531211853,0.5893996953964233,0.6221622824668884,0.6122686862945557,0.617481529712677,0.5651951432228088,0.6079728603363037,0.6085215210914612,0.6013942956924438,0.6134016513824463,0.6208306550979614,0.5940880179405212,0.5982033014297485,0.5984882712364197,0.6012552380561829,0.5784023404121399,0.6041276454925537,0.5534555912017822,0.5820870399475098,0.5973073840141296,0.6003568172454834,0.5971312522888184,0.5965967178344727
ar_train_toxic,0.560711145401001,0.5633181929588318,0.5638562440872192,0.5682192444801331,0.6717339158058167,0.675122857093811,0.6816728115081787,0.6662175059318542,0.5860356688499451,0.5829623937606812,0.561848521232605,0.5855913758277893,0.5924133062362671,0.6041532158851624,0.5741367340087891,0.6055666208267212,0.5969377160072327,0.6017330884933472,0.551892876625061,0.5930832624435425,0.5931740999221802,0.5859334468841553,0.5970979332923889,0.6053219437599182,0.5788536071777344,0.5831360220909119,0.5838565230369568,0.5858703851699829,0.5626001358032227,0.5868942141532898,0.5376634001731873,0.5661826133728027,0.5836565494537354,0.58613121509552,0.5827913284301758,0.5826207995414734
de_test_neutral,0.5289182066917419,0.5310789346694946,0.5312607884407043,0.5358366966247559,0.5917362570762634,0.5916160941123962,0.60043865442276,0.5860356688499451,0.6734543442726135,0.6689485311508179,0.6551927924156189,0.6706954836845398,0.5971502661705017,0.6150537133216858,0.5832346677780151,0.6138368248939514,0.5970917344093323,0.60561203956604,0.5539055466651917,0.5947464108467102,0.5788031816482544,0.5725767016410828,0.5843079686164856,0.5886655449867249,0.5777748823165894,0.5813615918159485,0.5813483595848083,0.5851844549179077,0.5504500269889832,0.5742924213409424,0.5276585221290588,0.5537545680999756,0.5661954879760742,0.5691075325012207,0.566524863243103,0.5656036138534546
de_test_toxic,0.5271576046943665,0.5294114947319031,0.5295346975326538,0.5342093706130981,0.5886718034744263,0.5886649489402771,0.5973779559135437,0.5829623937606812,0.6689485311508179,0.6658758521080017,0.6517003178596497,0.6667527556419373,0.5929338335990906,0.6115462183952332,0.5796675682067871,0.610382616519928,0.5931980609893799,0.6018151640892029,0.5501077771186829,0.5911905765533447,0.5756731629371643,0.5696142315864563,0.5810490250587463,0.5856112837791443,0.5753769874572754,0.5792711973190308,0.5785588622093201,0.5832975506782532,0.5482352375984192,0.5720956921577454,0.5257548689842224,0.551571786403656,0.5629319548606873,0.5658594965934753,0.5631874203681946,0.5624068379402161
de_train_neutral,0.5039230585098267,0.5059575438499451,0.5058492422103882,0.5104041695594788,0.5669394731521606,0.5677498579025269,0.5758011937141418,0.561848521232605,0.6551927924156189,0.6517003178596497,0.6429712772369385,0.6519713997840881,0.5787403583526611,0.5969728231430054,0.5670486092567444,0.5955573916435242,0.5759616494178772,0.5862846970558167,0.5366385579109192,0.5745161175727844,0.5535615086555481,0.5485965609550476,0.5604082942008972,0.561621367931366,0.5541366338729858,0.5579736828804016,0.5573444962501526,0.561698853969574,0.5265492796897888,0.5493363738059998,0.5063955783843994,0.5297941565513611,0.5416778326034546,0.5449636578559875,0.5432472229003906,0.5411025285720825
de_train_toxic,0.5304322838783264,0.532569169998169,0.5328894853591919,0.5373479127883911,0.5910910964012146,0.5906406044960022,0.5993329286575317,0.5855914354324341,0.6706955432891846,0.6667527556419373,0.6519713997840881,0.6694706082344055,0.5946671962738037,0.6120957136154175,0.5802701711654663,0.6110817193984985,0.5949815511703491,0.6028161644935608,0.5514893531799316,0.5926525592803955,0.5788210034370422,0.5723199248313904,0.5835508108139038,0.5891011357307434,0.577329695224762,0.581017017364502,0.5810588598251343,0.5848417282104492,0.5504015684127808,0.5740168690681458,0.526878297328949,0.5536550283432007,0.5659193396568298,0.5685356855392456,0.5656089186668396,0.5652585029602051
