,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.7426167726516724,0.7477712631225586,0.745696485042572,0.7520508170127869,0.5770865082740784,0.5783349275588989,0.5872529149055481,0.571404755115509,0.5294159650802612,0.5295153856277466,0.5090741515159607,0.5355260968208313,0.5113011002540588,0.5206987857818604,0.49599117040634155,0.5232588648796082,0.5281115770339966,0.5299344062805176,0.48214760422706604,0.5226314067840576,0.5570307374000549,0.5498428344726562,0.5539965629577637,0.5711439251899719,0.5285550951957703,0.5326196551322937,0.527228057384491,0.5300652384757996,0.5225942134857178,0.547555685043335,0.49588555097579956,0.5289952158927917,0.5723604559898376,0.5768507719039917,0.5714824199676514,0.5714201927185059
am_test_toxic,0.7477712631225586,0.7534922957420349,0.7507950067520142,0.7576127648353577,0.5775923728942871,0.5790522694587708,0.588057279586792,0.5719218850135803,0.529384970664978,0.5297497510910034,0.5091090798377991,0.5356000661849976,0.5106915831565857,0.5204883813858032,0.4953981339931488,0.5231055021286011,0.5278604030609131,0.5299264192581177,0.4814217686653137,0.5224453806877136,0.5567657947540283,0.54969722032547,0.5538689494132996,0.570906400680542,0.5286985635757446,0.5330367088317871,0.5271118879318237,0.5305940508842468,0.5226741433143616,0.547977089881897,0.4959059953689575,0.5291323661804199,0.5729497671127319,0.5778288841247559,0.572273850440979,0.5721283555030823
am_train_neutral,0.745696485042572,0.7507950067520142,0.7492144703865051,0.755307137966156,0.5771226286888123,0.5782104134559631,0.5872921943664551,0.5713748335838318,0.5286810994148254,0.5288137793540955,0.5079970955848694,0.5349071025848389,0.5096072554588318,0.5190076231956482,0.4943021535873413,0.5215194821357727,0.5271947979927063,0.5286640524864197,0.48101723194122314,0.5215776562690735,0.5575317144393921,0.5501730442047119,0.5541101694107056,0.5719983577728271,0.5284380912780762,0.5324457883834839,0.5270274877548218,0.5298975110054016,0.5230752825737,0.5480472445487976,0.49615180492401123,0.529451847076416,0.5735189318656921,0.5777667760848999,0.5722293257713318,0.5724655985832214
am_train_toxic,0.7520507574081421,0.7576127648353577,0.755307137966156,0.7621645331382751,0.5820668935775757,0.5834344625473022,0.5925604701042175,0.5762849450111389,0.5338612198829651,0.5342419147491455,0.5131668448448181,0.5401639938354492,0.5145493745803833,0.5245680809020996,0.49901914596557617,0.5271593332290649,0.5321789979934692,0.5342161059379578,0.4852061867713928,0.5266616940498352,0.5616006255149841,0.5543782114982605,0.5585103034973145,0.5760815143585205,0.5333805680274963,0.5376635789871216,0.5316615700721741,0.5352284908294678,0.5273613333702087,0.552878737449646,0.5003113746643066,0.5338682532310486,0.5770569443702698,0.5817188620567322,0.5761114954948425,0.5761028528213501
ar_test_neutral,0.5770865678787231,0.5775923728942871,0.5771227478981018,0.5820668935775757,0.680798351764679,0.6839107275009155,0.6903766989707947,0.6740818619728088,0.6231618523597717,0.6214012503623962,0.6064667701721191,0.6261616945266724,0.6226682662963867,0.6327345967292786,0.6033959984779358,0.6353100538253784,0.6302645802497864,0.6381288766860962,0.581940770149231,0.6255807280540466,0.6330562233924866,0.6259718537330627,0.6362473368644714,0.6441316604614258,0.6171616315841675,0.618876039981842,0.6176751852035522,0.6148867011070251,0.5992732644081116,0.6263115406036377,0.5730354189872742,0.6057718992233276,0.6115111112594604,0.6170676350593567,0.6178144216537476,0.6111944913864136
ar_test_toxic,0.5783349871635437,0.5790522694587708,0.5782104134559631,0.583434522151947,0.6839107275009155,0.6881075501441956,0.6941086649894714,0.6774702072143555,0.6258950233459473,0.6242946982383728,0.6101090908050537,0.6285738945007324,0.6273615956306458,0.6379718780517578,0.608319103717804,0.6406129002571106,0.6340009570121765,0.6430473923683167,0.5858753323554993,0.6296034455299377,0.6349756121635437,0.6284313201904297,0.6392101645469666,0.6455315947532654,0.6204470992088318,0.6222416162490845,0.6207293272018433,0.6181560158729553,0.602332353591919,0.6296352744102478,0.5766918659210205,0.6089195013046265,0.6117548942565918,0.6178988814353943,0.6190028190612793,0.611594557762146
ar_train_neutral,0.5872529149055481,0.5880573391914368,0.5872921943664551,0.5925604701042175,0.6903766989707947,0.6941086649894714,0.701188862323761,0.6834908127784729,0.6319912672042847,0.6303349137306213,0.6153528094291687,0.6347295641899109,0.6318977475166321,0.6427575349807739,0.6125529408454895,0.645453691482544,0.6395095586776733,0.6480126976966858,0.5900218486785889,0.6346585154533386,0.6423789262771606,0.635562539100647,0.6462831497192383,0.6534196734428406,0.6264263391494751,0.6281126737594604,0.6264771223068237,0.6241985559463501,0.6089587211608887,0.6368653774261475,0.582691490650177,0.6155920624732971,0.6195639371871948,0.6257447004318237,0.6266221404075623,0.6194076538085938
ar_train_toxic,0.5714046955108643,0.5719218254089355,0.5713748335838318,0.5762849450111389,0.6740819215774536,0.6774702072143555,0.6834908127784729,0.6681520938873291,0.6170504689216614,0.6153392791748047,0.6009060740470886,0.6201378703117371,0.6181415319442749,0.6278024911880493,0.5989663600921631,0.6304464936256409,0.624564528465271,0.6325451135635376,0.5772114396095276,0.6201226711273193,0.6265679001808167,0.6196397542953491,0.6298747062683105,0.6373263597488403,0.6116734743118286,0.6135600805282593,0.6124922633171082,0.6094250679016113,0.5933406352996826,0.6198675632476807,0.5674403309822083,0.5998399257659912,0.6052015423774719,0.6107357740402222,0.6114567518234253,0.6047756671905518
de_test_neutral,0.5294159650802612,0.529384970664978,0.5286810994148254,0.5338612198829651,0.6231618523597717,0.625895082950592,0.6319913268089294,0.6170504689216614,0.6753304600715637,0.6728179454803467,0.6604546904563904,0.6768519282341003,0.6252402067184448,0.6361266374588013,0.6063796281814575,0.6380855441093445,0.6306888461112976,0.6412549614906311,0.5840913653373718,0.6264723539352417,0.6061584949493408,0.6001688241958618,0.6104562282562256,0.6151037216186523,0.6029216647148132,0.6042633652687073,0.6029559373855591,0.6002323031425476,0.5833112597465515,0.6088864207267761,0.5597551465034485,0.5893241167068481,0.5791107416152954,0.5846467018127441,0.5871904492378235,0.5791604518890381
de_test_toxic,0.5295154452323914,0.5297496914863586,0.5288137197494507,0.5342419147491455,0.6214012503623962,0.624294638633728,0.6303349137306213,0.6153393387794495,0.6728180050849915,0.671668529510498,0.6586986184120178,0.6748723387718201,0.6222554445266724,0.6341865658760071,0.6038489937782288,0.636138379573822,0.6280472874641418,0.6389009952545166,0.5811933875083923,0.6242039799690247,0.6032785773277283,0.597514271736145,0.6075054407119751,0.6123703122138977,0.6015582084655762,0.6035376191139221,0.6012342572212219,0.5997161865234375,0.5817250609397888,0.6076297163963318,0.5582365393638611,0.5879586935043335,0.5780063271522522,0.5837872624397278,0.5860573053359985,0.5781968235969543
de_train_neutral,0.5090742111206055,0.5091091394424438,0.5079970955848694,0.5131669044494629,0.6064667701721191,0.6101091504096985,0.6153528094291687,0.6009060740470886,0.6604546904563904,0.6586986184120178,0.6503358483314514,0.6611422896385193,0.6155961155891418,0.6265519261360168,0.5983132719993591,0.6284995079040527,0.6175714731216431,0.6298490166664124,0.574096143245697,0.614140510559082,0.5892990231513977,0.5844786167144775,0.5953563451766968,0.5964847803115845,0.5885617136955261,0.5898356437683105,0.5886703133583069,0.5856119990348816,0.5688828229904175,0.5932720899581909,0.5476706027984619,0.5745899677276611,0.5612046718597412,0.5672074556350708,0.570543646812439,0.5612701177597046
de_train_toxic,0.5355260968208313,0.5356000065803528,0.5349071025848389,0.5401639938354492,0.6261618137359619,0.6285739541053772,0.6347295045852661,0.6201378703117371,0.6768519282341003,0.6748723387718201,0.6611422896385193,0.6801895499229431,0.6251059770584106,0.6359835267066956,0.6055971384048462,0.6380319595336914,0.6317862272262573,0.6417919993400574,0.5841003656387329,0.6276541948318481,0.6083565354347229,0.6019731163978577,0.6116722822189331,0.617991030216217,0.6044953465461731,0.6064342856407166,0.6046609282493591,0.6024651527404785,0.5848529934883118,0.6108984351158142,0.5601559281349182,0.5911522507667542,0.5837241411209106,0.5891126394271851,0.5911548733711243,0.5838493704795837
en_test_neutral,0.5113011598587036,0.5106915831565857,0.5096072554588318,0.5145493745803833,0.6226683259010315,0.627361536026001,0.6318977475166321,0.6181415319442749,0.6252402067184448,0.6222555041313171,0.6155961155891418,0.6251060962677002,0.6697289347648621,0.6798518300056458,0.6504653096199036,0.6827685236930847,0.6439111828804016,0.6578262448310852,0.6010292768478394,0.6399129033088684,0.6129931807518005,0.6085036993026733,0.6222004890441895,0.6181511878967285,0.6041283011436462,0.6049493551254272,0.60605388879776,0.599254310131073,0.58601313829422,0.6098596453666687,0.5654398202896118,0.5910748839378357,0.5830588936805725,0.5891581773757935,0.5938515067100525,0.5819633603096008
en_test_toxic,0.5206988453865051,0.5204883217811584,0.5190076231956482,0.5245681405067444,0.6327345967292786,0.6379719376564026,0.6427575349807739,0.6278024315834045,0.6361266374588013,0.6341865062713623,0.6265519261360168,0.6359834671020508,0.6798519492149353,0.6959496140480042,0.6615762710571289,0.698337972164154,0.6527403593063354,0.6689985394477844,0.6083551049232483,0.6499401330947876,0.6216945052146912,0.6179999113082886,0.6315808892250061,0.6269587874412537,0.6141939163208008,0.6167868971824646,0.6147594451904297,0.6113001108169556,0.5942049026489258,0.6195590496063232,0.5740522742271423,0.6001191735267639,0.5939446091651917,0.6011204123497009,0.6057981252670288,0.593283474445343
en_train_neutral,0.4959911108016968,0.4953981339931488,0.4943021535873413,0.49901914596557617,0.6033959984779358,0.6083190441131592,0.6125528812408447,0.5989663600921631,0.6063796877861023,0.603848934173584,0.5983133316040039,0.6055971384048462,0.6504653096199036,0.6615761518478394,0.6352632641792297,0.6638816595077515,0.6249760985374451,0.6388626098632812,0.585243284702301,0.621449887752533,0.5936650037765503,0.5899456739425659,0.6029672026634216,0.598027765750885,0.5865158438682556,0.5870863199234009,0.588005542755127,0.5814008712768555,0.5684990286827087,0.5909430384635925,0.5498973727226257,0.5732741951942444,0.5632541179656982,0.5691383481025696,0.5742859840393066,0.5623813271522522
en_train_toxic,0.5232589840888977,0.5231055021286011,0.5215194225311279,0.5271593332290649,0.6353100538253784,0.6406129002571106,0.645453691482544,0.6304464936256409,0.6380854249000549,0.6361384391784668,0.6284995675086975,0.6380319595336914,0.6827684640884399,0.6983379125595093,0.6638815999031067,0.7015941143035889,0.6552963256835938,0.6715053915977478,0.610235869884491,0.6523531079292297,0.6244032979011536,0.6205572485923767,0.6343774795532227,0.629721462726593,0.6170409321784973,0.619602620601654,0.6177099347114563,0.614163339138031,0.5965472459793091,0.6221316456794739,0.5759864449501038,0.6025007367134094,0.5963079333305359,0.6036610007286072,0.6081408262252808,0.5956113338470459
es_test_neutral,0.5281115174293518,0.5278604030609131,0.5271947979927063,0.5321789979934692,0.6302645802497864,0.6340009570121765,0.6395094990730286,0.6245644688606262,0.6306888461112976,0.6280472278594971,0.6175715327262878,0.6317861676216125,0.6439112424850464,0.6527404189109802,0.6249760985374451,0.6552963852882385,0.6772052049636841,0.6897766590118408,0.6301929950714111,0.6718277335166931,0.6161482334136963,0.6105726361274719,0.6220723390579224,0.6243414282798767,0.6113576889038086,0.6110506057739258,0.6122430562973022,0.6061644554138184,0.58797687292099,0.6133259534835815,0.5649738311767578,0.5933908224105835,0.584275484085083,0.5894272327423096,0.593180775642395,0.5837922096252441
