,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.6116419434547424,0.6097138524055481,0.6259867548942566,0.6231660842895508,0.0015091191744431853,-0.012146162800490856,-0.00013280563871376216,-0.01220510434359312,0.29151275753974915,0.3066243529319763,0.3016998767852783,0.28949376940727234,0.18988794088363647,0.20297321677207947,0.18436476588249207,0.20114387571811676,0.09697336703538895,0.11052431911230087,0.09672172367572784,0.1166735365986824,0.1410798877477646,0.15594981610774994,0.12421050667762756,0.15970779955387115,0.3897542953491211,0.38751718401908875,0.38449326157569885,0.39475542306900024,0.4025968611240387,0.4039537012577057,0.38975033164024353,0.40012210607528687,0.02904980443418026,0.02633318118751049,0.0001487617555540055,0.0409092903137207
am_test_toxic,0.6097138524055481,0.6111330389976501,0.6219903230667114,0.6216763854026794,-0.0047497376799583435,-0.01689610257744789,-0.007378279231488705,-0.017390841618180275,0.2745029926300049,0.2911812961101532,0.2853478193283081,0.27403876185417175,0.17604224383831024,0.19052541255950928,0.16975536942481995,0.18866030871868134,0.08269339799880981,0.09814579784870148,0.08134613931179047,0.10242663323879242,0.11687420308589935,0.13185764849185944,0.10023979842662811,0.13518677651882172,0.37776365876197815,0.37695008516311646,0.3710345923900604,0.38369202613830566,0.38738349080085754,0.38856276869773865,0.3744010627269745,0.38453423976898193,0.046732835471630096,0.044450752437114716,0.020418599247932434,0.05712920054793358
am_train_neutral,0.6259867548942566,0.6219902634620667,0.6453429460525513,0.6401755809783936,-0.008091170340776443,-0.02317739650607109,-0.009213807992637157,-0.023165462538599968,0.3099029064178467,0.32363876700401306,0.3195957839488983,0.3062165081501007,0.20253679156303406,0.21511343121528625,0.19711555540561676,0.2132575511932373,0.10779155045747757,0.11999797075986862,0.10908632725477219,0.12742282450199127,0.1611640304327011,0.1767146736383438,0.14330749213695526,0.181119903922081,0.40836915373802185,0.4044916033744812,0.4038703739643097,0.41306397318840027,0.4231782853603363,0.4249042868614197,0.40988045930862427,0.4210842251777649,0.011000893078744411,0.008489967323839664,-0.020464548841118813,0.024423873052001
am_train_toxic,0.6231660842895508,0.6216763257980347,0.6401755809783936,0.6378097534179688,-0.0022425635252147913,-0.015979677438735962,-0.004022299312055111,-0.016255611553788185,0.2958976626396179,0.31098756194114685,0.30625098943710327,0.29318857192993164,0.19181090593338013,0.20548392832279205,0.1855226457118988,0.20378129184246063,0.09353280067443848,0.10743371397256851,0.0938400998711586,0.11317718774080276,0.1439507156610489,0.15942735970020294,0.1264900118112564,0.1634306013584137,0.39686793088912964,0.39431288838386536,0.3911271393299103,0.4026593267917633,0.4098149538040161,0.41133758425712585,0.3964901268482208,0.40771424770355225,0.02178705483675003,0.019728630781173706,-0.007650767453014851,0.03435761481523514
ar_test_neutral,0.0015091190580278635,-0.004749736748635769,-0.008091170340776443,-0.002242564456537366,0.7687477469444275,0.7840116024017334,0.7789645195007324,0.7834814190864563,0.044896699488162994,0.027754517272114754,0.043425898998975754,0.020483119413256645,0.07338926941156387,0.06998560577630997,0.07635893672704697,0.0765102356672287,0.023096825927495956,0.01702026277780533,0.02705593779683113,0.020617658272385597,0.1830148696899414,0.17478437721729279,0.18374374508857727,0.1760413497686386,0.0007128164288587868,-0.011114370077848434,0.0028635612688958645,-0.007287442218512297,0.020321020856499672,0.024529309943318367,0.026172323152422905,0.023214245215058327,-0.14219649136066437,-0.1460980772972107,-0.15194793045520782,-0.13677313923835754
ar_test_toxic,-0.012146162800490856,-0.01689610257744789,-0.02317739650607109,-0.01597968116402626,0.7840116024017334,0.8050569295883179,0.7947225570678711,0.8028489351272583,0.020547019317746162,0.00449761189520359,0.02043936587870121,-0.001919514499604702,0.05901065841317177,0.05704618617892265,0.06188945472240448,0.06422385573387146,0.004922077059745789,0.001907575991936028,0.009358665905892849,0.0033986358903348446,0.17208318412303925,0.16446992754936218,0.17351184785366058,0.16498178243637085,-0.01937960460782051,-0.03021109662950039,-0.018816782161593437,-0.027437865734100342,-0.00017930507601704448,0.0044982717372477055,0.0064247651025652885,0.003351395484060049,-0.14825473725795746,-0.15113556385040283,-0.15482407808303833,-0.1440754383802414
ar_train_neutral,-0.000132805245812051,-0.007378280628472567,-0.009213807992637157,-0.004022299777716398,0.7789645791053772,0.7947225570678711,0.791276216506958,0.7942372560501099,0.05212220549583435,0.033957574516534805,0.050849128514528275,0.02659231796860695,0.08512325584888458,0.0808032751083374,0.08785105496644974,0.08741910755634308,0.027714373543858528,0.02042035572230816,0.03207610547542572,0.024615328758955002,0.19340552389621735,0.1849709004163742,0.1940191239118576,0.18627916276454926,0.0020691584795713425,-0.01050790585577488,0.0045175980776548386,-0.006812539882957935,0.02328398823738098,0.027442554011940956,0.02904321253299713,0.0263887420296669,-0.15886814892292023,-0.1629786193370819,-0.1698530912399292,-0.1528574824333191
ar_train_toxic,-0.01220510434359312,-0.017390843480825424,-0.02316546067595482,-0.016255611553788185,0.7834814190864563,0.8028489351272583,0.7942371964454651,0.8021475076675415,0.025107773020863533,0.008752437308430672,0.024835141375660896,0.001886755577288568,0.06279941648244858,0.05999451130628586,0.06531635671854019,0.06702672690153122,0.007423414383083582,0.0031357398256659508,0.01131306029856205,0.00527487276121974,0.17814339697360992,0.16986198723316193,0.17958225309848785,0.17057520151138306,-0.017913535237312317,-0.028706256300210953,-0.016909074038267136,-0.0260954350233078,0.0017188852652907372,0.006056023295968771,0.007974382489919662,0.0048575857654213905,-0.1479804813861847,-0.15112760663032532,-0.1551685482263565,-0.14360898733139038
de_test_neutral,0.29151275753974915,0.2745029926300049,0.3099029064178467,0.29589763283729553,0.044896699488162994,0.020547019317746162,0.05212220549583435,0.025107773020863533,0.6487930417060852,0.6366251707077026,0.6555721759796143,0.6273493766784668,0.4181104600429535,0.4182244539260864,0.40950968861579895,0.419007807970047,0.2830948829650879,0.2831825017929077,0.29350918531417847,0.29621386528015137,0.16350434720516205,0.17381861805915833,0.1508912742137909,0.17968988418579102,0.3718124330043793,0.3589598834514618,0.37929466366767883,0.3702484965324402,0.3838217854499817,0.3854200541973114,0.3770454227924347,0.3854009211063385,-0.10132298618555069,-0.10980267077684402,-0.14223892986774445,-0.0837273895740509
de_test_toxic,0.3066243529319763,0.2911812961101532,0.32363876700401306,0.31098759174346924,0.027754519134759903,0.00449761189520359,0.033957574516534805,0.008752439171075821,0.6366251707077026,0.6344934701919556,0.6490827202796936,0.6231159567832947,0.3936600685119629,0.3954237401485443,0.3856249451637268,0.39554134011268616,0.24896752834320068,0.25365757942199707,0.25728702545166016,0.26497682929039,0.1501997858285904,0.16202744841575623,0.13777360320091248,0.16683076322078705,0.3816821873188019,0.37320274114608765,0.38818690180778503,0.3830825984477997,0.39023342728614807,0.39147257804870605,0.38271892070770264,0.3925510048866272,-0.07054757326841354,-0.07924646139144897,-0.1088511124253273,-0.05488966032862663
