,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.7472977638244629,0.7430469393730164,0.7513402700424194,0.7480176687240601,0.27650880813598633,0.2509060204029083,0.2833426892757416,0.25451788306236267,0.33650821447372437,0.3318191468715668,0.3384275734424591,0.31283652782440186,0.2828041613101959,0.2777518033981323,0.2671877443790436,0.27079153060913086,0.10525251179933548,0.10170064121484756,0.09363426268100739,0.1120595932006836,0.4107910096645355,0.4194197654724121,0.4003588557243347,0.42572733759880066,0.4895877540111542,0.47967514395713806,0.49400120973587036,0.49624180793762207,0.49771246314048767,0.49463677406311035,0.4800187647342682,0.5060815215110779,-0.25347664952278137,-0.2594930827617645,-0.2944343388080597,-0.22211596369743347
am_test_toxic,0.7430468797683716,0.7411882877349854,0.745821475982666,0.7448282241821289,0.28024619817733765,0.2559095323085785,0.28715696930885315,0.2596895396709442,0.33344247937202454,0.32889702916145325,0.33527109026908875,0.309710830450058,0.2913638651371002,0.28641656041145325,0.27485981583595276,0.27976495027542114,0.1063854992389679,0.10286921262741089,0.09378652274608612,0.11257119476795197,0.3906526565551758,0.3983716368675232,0.37996020913124084,0.4048011302947998,0.483045756816864,0.4735201597213745,0.4867842197418213,0.48997950553894043,0.4894842803478241,0.48620811104774475,0.47108250856399536,0.49779877066612244,-0.23487114906311035,-0.2412603199481964,-0.2746758759021759,-0.20468147099018097
am_train_neutral,0.7513402700424194,0.745821475982666,0.7578167915344238,0.7526794075965881,0.2712324559688568,0.2440638393163681,0.27831584215164185,0.24779707193374634,0.35110557079315186,0.34528470039367676,0.3524191975593567,0.32635024189949036,0.28799715638160706,0.28356680274009705,0.27236834168434143,0.2765282094478607,0.11540642380714417,0.1125292256474495,0.10524199157953262,0.12302368134260178,0.4257877469062805,0.43509116768836975,0.4149280786514282,0.44183114171028137,0.5040592551231384,0.49406710267066956,0.5094653367996216,0.5114798545837402,0.5146531462669373,0.51261305809021,0.4971347153186798,0.5237861275672913,-0.27051761746406555,-0.27619966864585876,-0.3134984076023102,-0.23711654543876648
am_train_toxic,0.7480175495147705,0.7448282241821289,0.7526793479919434,0.7505268454551697,0.2820890247821808,0.2564925253391266,0.2892252504825592,0.2604075074195862,0.34623926877975464,0.3410892188549042,0.3479193449020386,0.32177335023880005,0.2962394654750824,0.2914683222770691,0.27956536412239075,0.2847605347633362,0.1130872592329979,0.11023455858230591,0.10161662846803665,0.12011171877384186,0.4096154272556305,0.4179970622062683,0.39873313903808594,0.4247283637523651,0.4955497980117798,0.48589926958084106,0.5003388524055481,0.50339674949646,0.5044655203819275,0.5018367171287537,0.48613622784614563,0.5137060284614563,-0.2520618438720703,-0.25801709294319153,-0.2935124933719635,-0.219834566116333
ar_test_neutral,0.27650877833366394,0.28024616837501526,0.2712324559688568,0.2820890247821808,0.8027788400650024,0.8191210627555847,0.8126637935638428,0.8159394264221191,0.09440235793590546,0.06696023792028427,0.08498630672693253,0.06217113137245178,0.10304418951272964,0.10001236945390701,0.09002674371004105,0.10256527364253998,0.03713064640760422,0.04415956512093544,0.03810952603816986,0.039468031376600266,0.2323572337627411,0.22975009679794312,0.22913943231105804,0.2333756387233734,0.08254976570606232,0.058807361871004105,0.08465273678302765,0.08112034946680069,0.09640661627054214,0.10289471596479416,0.09563444554805756,0.09961806982755661,-0.25884300470352173,-0.2543659210205078,-0.2602558732032776,-0.24787217378616333
ar_test_toxic,0.2509060204029083,0.2559095323085785,0.2440638393163681,0.256492555141449,0.8191211223602295,0.8402509689331055,0.8291589617729187,0.8360214829444885,0.06865369528532028,0.04157554358243942,0.05922418087720871,0.03745272383093834,0.08984165638685226,0.08694899827241898,0.07697416841983795,0.09033447504043579,0.02300185151398182,0.030667124316096306,0.023740006610751152,0.025221025571227074,0.20766901969909668,0.2044542282819748,0.2049354910850525,0.20762133598327637,0.05176445469260216,0.02884702757000923,0.05324934795498848,0.0501713752746582,0.06490898877382278,0.07191994786262512,0.06493442505598068,0.06792761385440826,-0.24518758058547974,-0.24003732204437256,-0.24314241111278534,-0.23645873367786407
ar_train_neutral,0.2833426892757416,0.28715699911117554,0.27831587195396423,0.2892252504825592,0.8126638531684875,0.8291589617729187,0.8244289755821228,0.8262923955917358,0.11447244882583618,0.08606422692537308,0.10562099516391754,0.08148109167814255,0.128355011343956,0.12472213059663773,0.1144009530544281,0.12732888758182526,0.051146820187568665,0.058188971132040024,0.05283614620566368,0.05318727344274521,0.24152547121047974,0.23861227929592133,0.2377857118844986,0.24256083369255066,0.09245400875806808,0.0680287629365921,0.09472998231649399,0.09105659276247025,0.10869831591844559,0.11515548080205917,0.10709671676158905,0.1121947169303894,-0.27417290210723877,-0.27013373374938965,-0.27674445509910583,-0.26245149970054626
ar_train_toxic,0.25451788306236267,0.2596895396709442,0.24779707193374634,0.2604074776172638,0.8159394264221191,0.8360214829444885,0.8262923955917358,0.8329036831855774,0.08498825877904892,0.05798497796058655,0.07603257149457932,0.053839948028326035,0.10683358460664749,0.10410178452730179,0.0934034213423729,0.1075066551566124,0.0356961265206337,0.04363640025258064,0.03659174218773842,0.03797799348831177,0.21424299478530884,0.21067509055137634,0.2111896425485611,0.21404904127120972,0.06098077818751335,0.03819562867283821,0.0626351460814476,0.05983763933181763,0.07491546869277954,0.08179779350757599,0.0745306983590126,0.07812453806400299,-0.24548105895519257,-0.24069997668266296,-0.24416027963161469,-0.23622432351112366
de_test_neutral,0.33650821447372437,0.33344241976737976,0.35110557079315186,0.34623926877975464,0.09440235793590546,0.06865370273590088,0.11447246372699738,0.08498826622962952,0.7402055859565735,0.7201292514801025,0.7449262142181396,0.7204751372337341,0.6194954514503479,0.6278320550918579,0.5956249237060547,0.628049373626709,0.47997021675109863,0.4968123435974121,0.49775323271751404,0.49199238419532776,0.3134027123451233,0.3137483298778534,0.29603883624076843,0.32762622833251953,0.4617006778717041,0.45354369282722473,0.47209984064102173,0.47872403264045715,0.5108340382575989,0.5157111287117004,0.4950296878814697,0.5243462324142456,-0.2980479598045349,-0.3056183457374573,-0.34278810024261475,-0.26196131110191345
de_test_toxic,0.3318191468715668,0.32889702916145325,0.34528470039367676,0.3410891890525818,0.06696024537086487,0.04157554730772972,0.08606423437595367,0.05798497796058655,0.7201292514801025,0.7077078819274902,0.7289165258407593,0.7068758010864258,0.6052037477493286,0.612587034702301,0.5827327370643616,0.6127386689186096,0.4500378370285034,0.4653455913066864,0.4649593234062195,0.4617938995361328,0.29272061586380005,0.29365041851997375,0.27663639187812805,0.30627360939979553,0.45562002062797546,0.4506310522556305,0.4657127857208252,0.4737592339515686,0.5008503794670105,0.5046558380126953,0.48541542887687683,0.5151117444038391,-0.26783761382102966,-0.2753675580024719,-0.3107694983482361,-0.23272985219955444
