,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.5968949198722839,0.6130688190460205,0.5855540037155151,0.5976836681365967,0.4986390769481659,0.5108444094657898,0.49328452348709106,0.501537024974823,0.5024223923683167,0.5116860866546631,0.5058572888374329,0.5152027010917664,0.44376277923583984,0.4699849486351013,0.43879395723342896,0.47521910071372986,0.4653913676738739,0.4968164563179016,0.4623859226703644,0.49409031867980957,0.5222290754318237,0.5456223487854004,0.5259952545166016,0.5329931378364563,0.48152968287467957,0.5092573165893555,0.46541866660118103,0.5010430216789246,0.4939436912536621,0.5045651197433472,0.4894874393939972,0.49499061703681946,0.47307437658309937,0.4804910719394684,0.49027955532073975,0.4523540437221527
am_test_toxic,0.6130688190460205,0.6497808694839478,0.6030498147010803,0.6306325793266296,0.5182571411132812,0.5342280864715576,0.5091754198074341,0.5230129957199097,0.5225642919540405,0.5381115078926086,0.5254635214805603,0.5418317914009094,0.4500252902507782,0.4865049421787262,0.4438628852367401,0.4921354055404663,0.4768500030040741,0.5182158350944519,0.47447606921195984,0.5156056880950928,0.5331804752349854,0.5680252909660339,0.5384795665740967,0.553999662399292,0.4921131730079651,0.5326082706451416,0.4734871983528137,0.5235164761543274,0.5105711221694946,0.527483344078064,0.5050393342971802,0.5154498815536499,0.49251899123191833,0.5035733580589294,0.5098297595977783,0.473418653011322
am_train_neutral,0.5855540633201599,0.6030498147010803,0.5817765593528748,0.5882938504219055,0.49457553029060364,0.5065118670463562,0.4904739260673523,0.4975464940071106,0.49742788076400757,0.5063737034797668,0.5023075938224792,0.509581446647644,0.4448208510875702,0.4699980914592743,0.43984803557395935,0.47524067759513855,0.4632795751094818,0.4937744140625,0.46029913425445557,0.4907205104827881,0.5200693011283875,0.5421371459960938,0.524199903011322,0.5302205085754395,0.47985267639160156,0.5052420496940613,0.4650130271911621,0.49671444296836853,0.49227896332740784,0.5025221109390259,0.48873233795166016,0.4933840334415436,0.46532130241394043,0.4727504253387451,0.48266762495040894,0.4463564455509186
am_train_toxic,0.5976836681365967,0.6306324601173401,0.5882937908172607,0.619896411895752,0.5118204951286316,0.527038037776947,0.5038475394248962,0.5166919231414795,0.5115556716918945,0.526568591594696,0.5142108201980591,0.5301247239112854,0.44231030344963074,0.47917965054512024,0.43624815344810486,0.48370596766471863,0.4680995047092438,0.5090349316596985,0.4653629958629608,0.5058269500732422,0.5213435888290405,0.554499089717865,0.5266540050506592,0.542762041091919,0.4840114712715149,0.5244477987289429,0.4676530361175537,0.5159275531768799,0.5029906034469604,0.5195629000663757,0.4968136250972748,0.5083255767822266,0.4873116612434387,0.4969833493232727,0.5026748180389404,0.468852162361145
ar_test_neutral,0.4986390769481659,0.5182571411132812,0.49457553029060364,0.5118205547332764,0.5068690180778503,0.5091673135757446,0.49739545583724976,0.5036195516586304,0.47204238176345825,0.48141244053840637,0.47888413071632385,0.4835614860057831,0.4419180154800415,0.4688340723514557,0.4355789124965668,0.4724474251270294,0.4570122957229614,0.4882987439632416,0.4539363384246826,0.482909619808197,0.4812087416648865,0.5009888410568237,0.48586469888687134,0.49326562881469727,0.46731019020080566,0.4908963441848755,0.45884427428245544,0.48275479674339294,0.47435829043388367,0.48270630836486816,0.46797114610671997,0.4775189459323883,0.43975013494491577,0.4475344717502594,0.4552733302116394,0.43126556277275085
ar_test_toxic,0.5108444094657898,0.5342279672622681,0.5065118074417114,0.527038037776947,0.5091673731803894,0.5227149128913879,0.5040064454078674,0.5118837952613831,0.4822605848312378,0.49297261238098145,0.48906072974205017,0.49566563963890076,0.44591450691223145,0.4747316837310791,0.4396865665912628,0.4801740348339081,0.4629363715648651,0.4971790909767151,0.4599500894546509,0.492016464471817,0.4893856942653656,0.5119580030441284,0.4942430555820465,0.5033137202262878,0.47280770540237427,0.5005899667739868,0.46403399109840393,0.49258676171302795,0.4822468161582947,0.4926144480705261,0.47584933042526245,0.48735570907592773,0.4512293040752411,0.4595957100391388,0.46629706025123596,0.4410584568977356
ar_train_neutral,0.49328452348709106,0.5091754198074341,0.4904739260673523,0.5038475394248962,0.49739545583724976,0.5040064454078674,0.49867093563079834,0.4981915056705475,0.4700063467025757,0.476588636636734,0.4773418605327606,0.4799160063266754,0.44341588020324707,0.46681123971939087,0.4375689923763275,0.46999281644821167,0.45611757040023804,0.48385971784591675,0.4535105526447296,0.47871747612953186,0.48075923323631287,0.49648457765579224,0.4836789071559906,0.49008506536483765,0.46544361114501953,0.485446959733963,0.4594562351703644,0.47829243540763855,0.47301894426345825,0.4785998463630676,0.46646571159362793,0.4756685495376587,0.43910688161849976,0.44503164291381836,0.4532488286495209,0.42955273389816284
ar_train_toxic,0.501537024974823,0.5230129957199097,0.4975464344024658,0.5166919231414795,0.5036195516586304,0.5118838548660278,0.4981915056705475,0.5089647173881531,0.47492119669914246,0.4847721755504608,0.4814404845237732,0.4872913658618927,0.44032055139541626,0.4679136276245117,0.43451717495918274,0.4724941849708557,0.4563133418560028,0.489304780960083,0.45328494906425476,0.48377254605293274,0.4813714921474457,0.5027248859405518,0.48611366748809814,0.49512726068496704,0.4662276804447174,0.49204394221305847,0.45849764347076416,0.48418715596199036,0.475586861371994,0.4846719801425934,0.469029039144516,0.4801224172115326,0.44382762908935547,0.4522203207015991,0.45880332589149475,0.4352238178253174
de_test_neutral,0.5024223923683167,0.5225642919540405,0.49742788076400757,0.5115556716918945,0.47204238176345825,0.4822605550289154,0.4700062870979309,0.47492119669914246,0.5415182113647461,0.5412287712097168,0.543964684009552,0.5467994213104248,0.4645390510559082,0.4854988157749176,0.45920518040657043,0.49254468083381653,0.47276777029037476,0.5010890364646912,0.47051283717155457,0.4965797960758209,0.48890167474746704,0.5092010498046875,0.49192896485328674,0.4975704550743103,0.47451698780059814,0.4945545494556427,0.4636180102825165,0.488392174243927,0.4861413538455963,0.4904698133468628,0.4787895381450653,0.48537763953208923,0.45121800899505615,0.4584590196609497,0.46731123328208923,0.4395219385623932
de_test_toxic,0.5116860866546631,0.5381114482879639,0.5063736438751221,0.526568591594696,0.48141244053840637,0.49297261238098145,0.476588636636734,0.4847721755504608,0.5412287712097168,0.5540785193443298,0.5487306118011475,0.5556634068489075,0.4676996171474457,0.4941864311695099,0.4606764614582062,0.5011293888092041,0.4796302616596222,0.5141611099243164,0.47685351967811584,0.5093590617179871,0.4933343827724457,0.5191286206245422,0.4975666105747223,0.5065836310386658,0.4790108799934387,0.5069624185562134,0.4674255847930908,0.49944600462913513,0.49257344007492065,0.5006868839263916,0.4849664568901062,0.49388086795806885,0.46019116044044495,0.4689025282859802,0.4764280319213867,0.44869330525398254
