,am_test_neutral,am_test_toxic,am_train_neutral,am_train_toxic,ar_test_neutral,ar_test_toxic,ar_train_neutral,ar_train_toxic,de_test_neutral,de_test_toxic,de_train_neutral,de_train_toxic,en_test_neutral,en_test_toxic,en_train_neutral,en_train_toxic,es_test_neutral,es_test_toxic,es_train_neutral,es_train_toxic,hi_test_neutral,hi_test_toxic,hi_train_neutral,hi_train_toxic,ru_test_neutral,ru_test_toxic,ru_train_neutral,ru_train_toxic,uk_test_neutral,uk_test_toxic,uk_train_neutral,uk_train_toxic,zh_test_neutral,zh_test_toxic,zh_train_neutral,zh_train_toxic
am_test_neutral,0.5968949198722839,0.6130688190460205,0.5855540037155151,0.5976836681365967,0.49863916635513306,0.5108444094657898,0.49328458309173584,0.501537024974823,0.5024223923683167,0.5116860270500183,0.5058572888374329,0.5152026414871216,0.44376277923583984,0.4699850082397461,0.43879395723342896,0.47521910071372986,0.4653913974761963,0.4968164563179016,0.4623858332633972,0.4940902888774872,0.5222290754318237,0.5456222891807556,0.5259953141212463,0.5329931378364563,0.4815295934677124,0.5092573165893555,0.4654186964035034,0.5010430812835693,0.4939437508583069,0.5045651793479919,0.48948749899864197,0.49499082565307617,0.4730743169784546,0.4804910123348236,0.49027955532073975,0.4523540437221527
am_test_toxic,0.6130688190460205,0.6497808694839478,0.6030498147010803,0.6306325197219849,0.518257200717926,0.5342281460762024,0.5091754198074341,0.5230128765106201,0.5225642919540405,0.5381114482879639,0.5254635214805603,0.5418318510055542,0.4500252902507782,0.4865049719810486,0.4438628852367401,0.49213534593582153,0.47685009241104126,0.5182157754898071,0.47447603940963745,0.5156056880950928,0.5331805348396301,0.5680252313613892,0.5384795665740967,0.5539997220039368,0.4921131432056427,0.5326082706451416,0.4734871983528137,0.5235165953636169,0.5105711817741394,0.5274834036827087,0.5050393342971802,0.515450119972229,0.49251899123191833,0.5035734176635742,0.5098297595977783,0.4734187424182892
am_train_neutral,0.5855540037155151,0.6030498147010803,0.5817765593528748,0.5882938504219055,0.4945756494998932,0.506511926651001,0.4904739260673523,0.49754637479782104,0.49742794036865234,0.5063735842704773,0.5023075938224792,0.5095815062522888,0.44482091069221497,0.4699980914592743,0.43984803557395935,0.4752406179904938,0.4632795751094818,0.4937744140625,0.4602990746498108,0.4907205104827881,0.5200693607330322,0.5421372056007385,0.524199903011322,0.5302205085754395,0.4798526465892792,0.505242109298706,0.4650130271911621,0.4967145621776581,0.49227896332740784,0.5025221109390259,0.4887324273586273,0.4933842420578003,0.46532130241394043,0.4727504849433899,0.4826677143573761,0.44635650515556335
am_train_toxic,0.5976836681365967,0.6306325197219849,0.5882937908172607,0.619896411895752,0.5118206143379211,0.527038037776947,0.5038475394248962,0.5166919231414795,0.5115556120872498,0.5265685319900513,0.5142108201980591,0.5301247835159302,0.4423103630542755,0.4791796803474426,0.43624818325042725,0.48370596766471863,0.46809956431388855,0.5090349316596985,0.4653629958629608,0.5058269500732422,0.5213435292243958,0.5544990301132202,0.5266540050506592,0.5427621006965637,0.48401138186454773,0.5244477391242981,0.46765297651290894,0.5159276723861694,0.50299072265625,0.5195629000663757,0.49681368470191956,0.5083257555961609,0.48731163144111633,0.4969834089279175,0.5026748776435852,0.4688521921634674
ar_test_neutral,0.49863916635513306,0.518257200717926,0.4945755898952484,0.5118205547332764,0.5068691372871399,0.5091673731803894,0.49739551544189453,0.5036195516586304,0.472042441368103,0.48141250014305115,0.478884220123291,0.48356157541275024,0.4419180750846863,0.46883413195610046,0.4355789124965668,0.4724474549293518,0.4570123553276062,0.48829877376556396,0.4539363384246826,0.482909619808197,0.48120880126953125,0.5009888410568237,0.4858647882938385,0.49326571822166443,0.46731019020080566,0.4908963739871979,0.4588443338871002,0.4827548861503601,0.47435835003852844,0.48270633816719055,0.46797123551368713,0.477519154548645,0.43975019454956055,0.44753456115722656,0.45527344942092896,0.4312656819820404
ar_test_toxic,0.5108444094657898,0.5342281460762024,0.5065118670463562,0.5270380973815918,0.5091674327850342,0.5227149128913879,0.5040065050125122,0.5118837952613831,0.4822605848312378,0.49297261238098145,0.48906072974205017,0.49566566944122314,0.44591450691223145,0.4747317433357239,0.4396866261959076,0.4801740348339081,0.4629364311695099,0.4971790611743927,0.4599500596523285,0.49201640486717224,0.4893857538700104,0.5119580030441284,0.4942431151866913,0.5033137798309326,0.4728076756000519,0.5005899667739868,0.46403399109840393,0.49258682131767273,0.48224687576293945,0.4926144480705261,0.47584936022758484,0.4873558580875397,0.4512292444705963,0.4595957100391388,0.46629711985588074,0.441058486700058
ar_train_neutral,0.49328452348709106,0.5091754198074341,0.49047398567199707,0.5038475394248962,0.49739551544189453,0.5040065050125122,0.49867093563079834,0.4981914460659027,0.4700063467025757,0.476588636636734,0.4773418605327606,0.4799160659313202,0.4434158205986023,0.46681123971939087,0.4375690519809723,0.46999281644821167,0.4561176300048828,0.4838597774505615,0.4535105526447296,0.47871747612953186,0.48075923323631287,0.49648451805114746,0.4836789071559906,0.49008509516716003,0.46544355154037476,0.4854470193386078,0.4594562351703644,0.4782924950122833,0.47301894426345825,0.4785999059677124,0.4664657711982727,0.47566863894462585,0.43910688161849976,0.4450317323207855,0.45324888825416565,0.4295527935028076
ar_train_toxic,0.501537024974823,0.5230129361152649,0.49754637479782104,0.5166918635368347,0.5036196112632751,0.5118838548660278,0.4981914460659027,0.5089647173881531,0.4749211072921753,0.48477205634117126,0.4814404249191284,0.4872913658618927,0.44032055139541626,0.4679136276245117,0.43451714515686035,0.4724941551685333,0.45631328225135803,0.4893047511577606,0.4532848596572876,0.4837724566459656,0.4813714325428009,0.502724826335907,0.48611366748809814,0.49512726068496704,0.466227650642395,0.49204394221305847,0.4584976136684418,0.48418715596199036,0.47558680176734924,0.4846719205379486,0.469029039144516,0.48012256622314453,0.4438275992870331,0.45222026109695435,0.45880332589149475,0.4352238178253174
de_test_neutral,0.5024223923683167,0.5225642919540405,0.49742794036865234,0.5115556716918945,0.472042441368103,0.4822605848312378,0.4700062870979309,0.4749211370944977,0.5415181517601013,0.541228711605072,0.543964684009552,0.5467994213104248,0.4645390510559082,0.4854988157749176,0.45920518040657043,0.49254462122917175,0.47276782989501953,0.5010889768600464,0.4705128073692322,0.4965797960758209,0.48890167474746704,0.5092010498046875,0.49192896485328674,0.4975705146789551,0.474516898393631,0.4945545494556427,0.46361806988716125,0.4883922338485718,0.4861414134502411,0.4904698133468628,0.4787895977497101,0.48537778854370117,0.45121800899505615,0.4584590196609497,0.467311292886734,0.4395219683647156
de_test_toxic,0.5116860270500183,0.5381114482879639,0.5063736438751221,0.5265685319900513,0.48141250014305115,0.49297261238098145,0.476588636636734,0.48477205634117126,0.541228711605072,0.5540784597396851,0.5487305521965027,0.5556633472442627,0.4676996171474457,0.4941864311695099,0.4606764614582062,0.5011293292045593,0.47963032126426697,0.5141610503196716,0.47685346007347107,0.5093590617179871,0.4933343827724457,0.5191285014152527,0.4975666105747223,0.5065837502479553,0.47901079058647156,0.5069624185562134,0.4674255847930908,0.4994460344314575,0.49257344007492065,0.5006868243217468,0.484966516494751,0.4938810169696808,0.46019110083580017,0.46890243887901306,0.4764280617237091,0.4486933648586273
